상권명,자치구,법정동,엑스좌표_값,와이좌표_값,아파트_단지_수,아파트_평균_면적,주중_매출_금액,주말_매출_금액,당월_매출_건수,시간대_11~14_매출_금액
연트럴파크(연남동주민센터),마포구,연남동,193227,451584,70,49,560066687,462987368,81430,240211029
홍대입구역 3번,마포구,서교동,193428,451158,9,47,452020236,314563791,52475,124044572
홍익대,마포구,서강동,193630,450369,50,44,109481240,79806560,14133,22920310
경의선책거리,마포구,서교동,193685,450750,24,52,1362190821,828236432,243480,527272749
광흥창역 6번,마포구,서강동,193708,449746,2,29,1777733,685871,350,630511
광흥창역 1번,마포구,서강동,193929,449952,1,75,54321294,13881450,14768,25041606
홍대땡땡거리,마포구,서강동,193992,450570,15,54,464135449,248171225,86107,199447637
KB국민은행 서강지점,마포구,신수동,194258,449405,3,58,478077321,143940299,77140,214350246
신수동주민센터,마포구,신수동,194370,449562,42,52,28015836,10687677,5356,12522155
서강대역 1번,마포구,신수동,194437,450111,31,44,537969628,231278510,171515,223291921
신촌역 6번,마포구,대흥동,194527,450416,2,47,19628686,2944140,5849,8756408
대흥동주민센터,마포구,대흥동,194807,450616,28,32,10710720,4729882,1949,4506300
대흥역 3번,마포구,대흥동,195036,449638,4,46,427636835,126940773,48527,164850032
대흥역 2번,마포구,염리동,195146,449859,32,28,307414917,115879498,100902,116349180
마포역 4번,마포구,도화동,195146,448511,18,84,45874412,1468605,6404,22083724
양원초등학교,마포구,대흥동,195137,450415,8,43,10484846,1639319,1570,6700130
이대역 5번,마포구,염리동,195312,450646,27,42,161002156,79337309,33845,83293597
서울서부지방법원,마포구,공덕동,196159,450001,38,56,344081950,52926626,47860,183849746
공덕동주민센터,마포구,공덕동,196316,449878,28,52,18604749,4690791,2898,9254748
한겨레신문사,마포구,공덕동,196474,449809,18,55,95850139,32092606,19276,47016636
충정로역 6번,중구,중림동,196681,450974,69,57,19613227,6470131,5180,8518920
신월3동주민센터,양천구,신월3동,184691,448235,43,46,91804864,44224176,29854,41891433
신월중학교,양천구,신월5동,184761,449104,52,60,29646885,2668340,5121,16756923
메디힐병원,양천구,신월5동,184977,448713,139,51,106820600,32055280,29158,40626340
서서울호수공원,양천구,신월3동,185107,447773,71,47,27587087,17173326,8984,10837225
신월문화체육센터,양천구,신월7동,185267,446690,130,42,51699278,23119211,9390,22548541
신월1파출소,양천구,신월1동,185318,447959,57,53,15465134,9010857,2698,8657528
신월7동주민센터,양천구,신월7동,185402,447045,243,41,29036095,21453433,6542,13290717
신월1동우편취급국,양천구,신월1동,185551,447619,154,48,39841362,20950121,14165,15880712
지향초등학교,양천구,신정3동,185868,445909,12,41,28302994,13748295,4726,16611265
신월4동주민센터,양천구,신월4동,185801,447110,98,56,2452296,0,550,801915
신한은행 신월동지점,양천구,신월4동,185964,446724,122,57,46261312,25738688,16897,20755814
신월2동주민센터,양천구,신월2동,186375,447299,188,54,56511053,36488947,12433,27037529
신정역 1번,양천구,신정4동,187335,447451,112,50,2668581,331419,538,1101152
신정역 5번,양천구,신정4동,187264,447115,185,51,106703101,39543488,26757,36220171
목동로데오거리,양천구,신정4동,187652,447633,46,56,4679356,508637,856,2559786
신서초등학교,양천구,신정1동,187732,446840,9,65,80502167,10195672,11123,40453431
양목초등학교,양천구,신정4동,187814,447073,27,50,2753109,342189,208,1990726
등촌역 4번,양천구,목3동,188071,449651,57,48,4761991,3531034,877,1829018
강서고등학교,양천구,목4동,188103,448419,171,50,17633403,7922112,3586,8495058
목동보건지소,양천구,목4동,188258,448850,230,54,83856921,53314998,28459,32566010
목동역 5번,양천구,목1동,188298,447305,8,77,29971395,16463452,10771,13903979
달마을공원,양천구,목2동,188467,449542,120,51,31028716,13972785,6797,11650144
신정2동주민센터,양천구,신정2동,188656,446559,32,56,79699480,31681925,21456,44219672
양화초등학교,양천구,목2동,188812,449453,234,49,15617848,5367526,1918,6255738
신정롯데캐슬아파트,양천구,신정2동,188832,446731,20,49,71125540,26342845,13401,30761210
신목동역,양천구,목2동,189379,449524,53,47,421006,181357,117,297942
공항시장역 1번,강서구,방화2동,183081,451771,77,50,39762501,16639463,8032,21567383
방화초등학교,강서구,방화2동,183212,452183,74,49,885258,823543,171,380916
방화역 3번,강서구,방화1동,183317,452821,20,55,136618452,48025464,26927,78202735
송정역 3번,강서구,공항동,183513,450893,184,40,22484163,9128619,3441,12180834
방화역 2번,강서구,방화1동,183479,452754,17,55,68478229,31063933,14813,29616101
신방화역 2번,강서구,방화1동,183578,452151,89,47,67921323,39718508,19983,34244343
신방화역 8번,강서구,방화1동,183627,451855,34,53,12245909,1957613,1815,2807903
방화역 1번,강서구,방화3동,183716,453166,36,57,233012877,96022680,50673,129603454
공항고등학교,강서구,방화1동,183939,452510,18,55,37320525,16689692,7358,18090805
강서구다솔마을,강서구,공항동,183982,450681,2,30,56174658,3195620,3716,23441125
우장산역 4번,강서구,발산1동,185289,450314,143,56,628744477,306069489,103873,257111715
푸른들청소년도서관,강서구,화곡3동,185451,449406,184,54,113106771,50444528,26804,45565258
화곡역 5번,강서구,화곡1동,185643,448807,232,48,9140944,5649649,1726,4018913
우장산역 1번,강서구,우장산동,185667,450397,67,52,136959384,84729682,28869,57655790
우장산힐스테이트,강서구,우장산동,185747,450632,12,62,4144456,1855544,658,2402915
화원중학교,강서구,화곡1동,185784,448561,184,50,94966956,45069973,18909,40071798
양천향교역 2번,강서구,가양1동,185848,452384,42,53,65421324,15525940,15772,30480395
화곡역 2번,강서구,우장산동,185990,449471,82,53,1212458,468338,276,576682
까치산역 4번,강서구,화곡1동,185968,448182,364,49,127666128,63662624,21947,61801713
발산역 5번,강서구,우장산동,186090,450860,21,55,254363759,121000269,42846,113611460
까치산역 3번,강서구,화곡1동,186119,447708,116,49,28255753,17332544,6491,13004516
양천향교역 5번,강서구,가양1동,186180,451900,2,53,211340128,54148186,42590,104129565
화곡역 4번,강서구,화곡본동,186429,449017,724,51,204901585,83997013,52641,76884758
등촌3동주민센터,강서구,등촌3동,186507,450988,19,57,313304188,181897634,86314,164682760
까치산역 1번,강서구,화곡8동,186666,448383,425,53,13691407,6087379,2287,4470602
우장산롯데캐슬아파트앞,강서구,화곡6동,186697,450527,31,57,226052561,77902485,29715,115620037
곰달래도서관,강서구,화곡2동,186976,447805,133,50,824064,39865,273,503437
화곡2동주민센터,강서구,화곡2동,187035,448118,270,50,34960277,1529442,7472,7112292
신곡초등학교,강서구,화곡4동,187264,448458,228,51,10537321,6314904,2426,5223882
등촌1동주민센터,강서구,등촌1동,187561,450691,84,52,299783239,72637015,46259,131331666
뜸부기어린이공원,강서구,화곡4동,187599,447889,91,46,5387630,1332174,595,2205370
화곡4동주민센터,강서구,화곡4동,187674,448535,207,50,7587250,5995117,1867,3782422
서울공연예술고등학교,구로구,수궁동,184965,444368,47,51,145905448,46310899,26266,64445691
수궁동주민센터,구로구,수궁동,185334,443922,93,54,18048954,5787356,1967,13174377
오류지구대,구로구,오류1동,185730,444002,53,51,4776069,3300976,515,2130049
오류2동버들시장,구로구,오류2동,186120,443658,46,53,62327721,27092540,14223,28443348
세곡초등학교,구로구,고척2동,186504,445043,107,49,18306757,8428010,3850,6204144
개봉1동주민센터,구로구,고척2동,186895,444572,63,50,89187388,35392034,17544,46984530
개봉3동주민센터,구로구,개봉3동,187085,442783,87,49,19596388,14491385,3981,10062101
개웅초등학교(개웅중학교),구로구,개봉3동,187021,443233,198,55,5629344,848249,1073,1336597
덕의초등학교,구로구,고척2동,187204,445195,23,51,19825759,6602844,3073,10098173
고척초등학교,구로구,고척1동,187387,444733,65,51,3415015,655803,480,1615233
고척동성당,구로구,고척2동,187600,445118,14,57,26289282,23937860,5805,17680646
개봉초등학교,구로구,개봉3동,187521,443242,55,50,9530338,8585690,2537,5393048
개봉역,구로구,개봉1동,187529,443979,29,56,148642299,81563881,37200,51947793
그라운드 고척,구로구,고척1동,188121,444651,3,53,313027083,146642719,81494,139322543
남구로역 3번,구로구,구로2동,189736,443055,119,55,255340,80554,84,160347
구로초등학교,구로구,구로2동,189750,444136,34,50,61168145,6769657,10375,27387660
남구로역 5번,구로구,구로4동,189968,443117,396,45,2576583,851962,30,0
구로보건소,구로구,구로5동,190029,444650,59,51,83342362,28660073,15560,38279439
구로4동주민센터,구로구,구로4동,190201,443547,50,47,119317478,70037593,46904,64781596
구로나눔길,구로구,구로2동,190166,443834,17,37,272862368,83424005,29287,137318908
남구로역 2번,구로구,가리봉동,190184,442766,357,52,51002381,15209151,11654,18686689
한국SGI본부,구로구,구로5동,190345,444894,13,56,102113873,58172751,17799,46495057
대림역 2번,구로구,구로4동,190545,443726,14,70,20363206,13282077,3736,4836793
가리봉파출소,구로구,가리봉동,190534,442240,72,55,33522178,10655602,4558,18855463
G타워,구로구,구로3동,190905,442315,14,56,53506176,18493824,3198,11946622
가산동주민센터,금천구,가산동,190311,442041,4,15,125724943,28267113,28540,63066869
